,id,service_id,branch_id,time_taken,request_time,rating
145,146,1,11,3,Night,3
146,147,2,43,13,Day-Peak,4
147,148,4,86,9,Day-Off-Peak,4
148,149,1,4,2,Night,4
149,150,4,99,9,Day-Peak,4
150,151,1,20,2,Night,4
151,152,1,38,1,Day-Peak,4
152,153,4,92,9,Day-Off-Peak,4
153,154,3,93,7,Day-Off-Peak,4
154,155,1,25,3,Night,4
155,156,2,46,13,Night,4
156,157,1,54,2,Night,5
157,158,1,9,2,Night,4
158,159,4,65,8,Day-Peak,5
159,160,2,75,12,Night,4
160,161,1,83,3,Night,3
161,162,2,82,13,Night,5
162,163,2,71,14,Day-Peak,4
163,164,3,79,6,Day-Peak,5
164,165,1,1,3,Day-Peak,3
165,166,4,83,12,Day-Off-Peak,3
166,167,2,60,15,Night,3
167,168,1,46,2,Day-Off-Peak,4
168,169,4,75,9,Day-Off-Peak,4
169,170,4,48,9,Day-Off-Peak,4
170,171,4,81,8,Day-Off-Peak,4
171,172,3,72,7,Day-Off-Peak,5
172,173,1,1,1,Day-Off-Peak,4
173,174,1,30,2,Day-Peak,5
174,175,2,37,12,Night,5
175,176,1,55,2,Night,4
176,177,3,96,7,Day-Peak,4
177,178,2,67,12,Day-Off-Peak,4
178,179,2,94,12,Day-Peak,5
179,180,3,42,8,Day-Off-Peak,4
180,181,1,29,1,Day-Peak,5
181,182,1,68,3,Night,4
182,183,4,85,8,Day-Off-Peak,4
183,184,4,56,9,Night,4
184,185,2,36,12,Day-Off-Peak,5
185,186,1,23,2,Night,5
186,187,3,59,7,Day-Off-Peak,5
187,188,3,90,9,Day-Peak,4
188,189,1,20,2,Night,4
189,190,2,49,13,Night,5
190,191,1,18,2,Day-Off-Peak,5
191,192,1,34,2,Night,5
192,193,1,8,2,Night,4
193,194,3,60,6,Day-Off-Peak,4
194,195,3,68,7,Night,5
195,196,4,91,10,Day-Peak,4
196,197,1,74,7,Day-Peak,4
197,198,4,97,9,Night,4
198,199,3,53,7,Day-Peak,4
199,200,3,94,7,Night,5
200,201,2,49,14,Day-Off-Peak,4
201,202,2,35,16,Day-Peak,3
202,203,3,62,7,Night,5
203,204,1,29,2,Night,5
204,205,1,10,2,Night,5
205,206,1,14,1,Day-Peak,4
206,207,2,75,13,Night,4
207,208,1,5,2,Night,4
208,209,1,48,2,Day-Peak,4
209,210,1,6,3,Day-Peak,4
210,211,3,85,6,Night,4
211,212,3,89,7,Day-Peak,5
212,213,1,18,2,Night,5
213,214,2,29,12,Day-Peak,5
214,215,3,81,6,Day-Off-Peak,4
215,216,1,46,2,Day-Off-Peak,4
216,217,3,83,7,Day-Peak,4
217,218,1,3,1,Night,5
218,219,2,58,13,Day-Off-Peak,5
219,220,1,23,1,Day-Peak,5
220,221,4,60,9,Night,4
221,222,1,9,1,Day-Peak,4
222,223,1,74,2,Day-Peak,5
223,224,2,75,14,Day-Off-Peak,3
224,225,1,1,2,Night,4
225,226,1,10,5,Day-Off-Peak,4
226,227,3,37,6,Day-Off-Peak,5
227,228,1,23,2,Day-Off-Peak,5
228,229,1,5,2,Night,4
229,230,1,30,1,Day-Peak,5
230,231,1,55,6,Day-Off-Peak,3
231,232,1,54,2,Night,5
232,233,3,66,7,Day-Off-Peak,5
233,234,1,24,3,Day-Peak,3
234,235,1,39,2,Day-Off-Peak,4
235,236,2,30,13,Day-Off-Peak,5
236,237,2,82,13,Day-Peak,5
237,238,4,86,10,Day-Off-Peak,3
238,239,4,90,10,Day-Off-Peak,4
239,240,3,89,7,Night,5
240,241,3,82,7,Night,5
241,242,1,32,2,Day-Off-Peak,5
242,243,3,64,9,Day-Off-Peak,3
243,244,2,46,13,Night,4
244,245,1,5,4,Night,3
245,246,4,73,13,Day-Off-Peak,4
246,247,1,2,2,Day-Off-Peak,5
247,248,3,35,7,Night,4
248,249,1,38,2,Day-Peak,4
249,250,3,65,7,Day-Off-Peak,5
250,251,1,22,3,Day-Off-Peak,4
251,252,3,95,9,Day-Off-Peak,3
252,253,4,100,9,Day-Off-Peak,4
253,254,4,98,9,Night,5
254,255,1,35,6,Night,3
255,256,1,27,2,Day-Peak,4
256,257,4,77,8,Day-Peak,4
257,258,3,49,7,Day-Peak,5
258,259,2,32,14,Day-Off-Peak,4
259,260,1,82,2,Day-Off-Peak,5
260,261,2,48,13,Night,4
261,262,1,18,3,Day-Off-Peak,4
262,263,1,60,2,Night,4
263,264,1,14,2,Day-Off-Peak,4
264,265,1,9,1,Day-Off-Peak,4
265,266,4,94,9,Night,5
266,267,1,22,3,Night,4
267,268,2,37,12,Day-Peak,5
268,269,3,82,7,Day-Peak,5
269,270,1,3,2,Night,5
270,271,1,10,2,Night,5
271,272,2,83,16,Day-Off-Peak,3
272,273,3,28,7,Day-Off-Peak,5
273,274,1,62,2,Day-Off-Peak,5
274,275,3,71,7,Night,5
275,276,1,1,2,Day-Peak,4
276,277,3,88,7,Day-Off-Peak,4
277,278,4,94,10,Day-Peak,4
278,279,2,76,14,Day-Off-Peak,3
279,280,3,73,7,Night,5
280,281,3,12,7,Night,4
281,282,2,83,13,Night,4
282,283,2,18,12,Day-Peak,5
283,284,2,65,13,Night,5
284,285,3,77,10,Day-Peak,3
285,286,1,59,2,Day-Off-Peak,5
286,287,2,67,13,Night,4
287,288,1,9,1,Day-Off-Peak,4
288,289,2,32,13,Night,5
289,290,4,95,10,Day-Peak,3
290,291,3,48,7,Day-Peak,4
291,292,1,2,2,Day-Off-Peak,5
292,293,4,98,10,Day-Peak,4
293,294,1,61,2,Night,5
294,295,1,9,3,Day-Off-Peak,3
295,296,4,97,8,Night,4
296,297,1,39,2,Day-Peak,4
297,298,1,25,6,Day-Peak,4
298,299,4,92,11,Day-Peak,3
299,300,1,42,4,Night,4
300,301,3,30,10,Day-Off-Peak,4
301,302,2,78,14,Day-Peak,3
302,303,1,33,2,Day-Peak,5
303,304,1,30,3,Day-Peak,4
304,305,1,72,2,Day-Peak,5
305,306,2,88,12,Night,4
306,307,4,81,8,Night,4
307,308,3,73,6,Day-Off-Peak,5
308,309,1,54,3,Day-Off-Peak,4
309,310,2,60,13,Day-Off-Peak,4
310,311,1,24,2,Day-Off-Peak,4
311,312,3,50,7,Day-Off-Peak,4
312,313,2,83,13,Night,4
313,314,4,50,8,Day-Peak,4
314,315,3,57,7,Day-Off-Peak,4
315,316,1,6,2,Day-Peak,5
316,317,3,82,8,Night,4
317,318,2,30,12,Night,5
318,319,1,26,2,Day-Peak,5
319,320,3,99,7,Day-Peak,4
320,321,1,18,3,Day-Peak,4
321,322,1,69,2,Day-Off-Peak,5
322,323,3,73,7,Day-Peak,5
323,324,1,19,2,Day-Peak,5
324,325,3,40,7,Night,5
325,326,1,76,2,Day-Peak,4
326,327,1,2,3,Day-Off-Peak,4
327,328,2,68,14,Night,4
328,329,3,77,8,Day-Peak,3
329,330,4,93,9,Day-Off-Peak,4
330,331,3,91,7,Day-Off-Peak,5
331,332,3,49,6,Day-Off-Peak,5
332,333,4,91,8,Day-Peak,5
333,334,1,20,2,Night,4
334,335,1,6,2,Day-Peak,5
335,336,2,20,15,Day-Peak,3
336,337,4,73,9,Night,5
337,338,3,46,7,Day-Off-Peak,4
338,339,4,60,9,Day-Off-Peak,4
339,340,1,42,2,Day-Peak,5
340,341,1,70,2,Day-Off-Peak,5
341,342,1,34,2,Day-Peak,5
342,343,1,43,2,Day-Off-Peak,4
343,344,3,80,6,Night,4
344,345,4,95,10,Day-Peak,3
345,346,2,41,13,Day-Peak,4
346,347,1,44,2,Night,5
347,348,1,11,2,Day-Peak,4
348,349,3,56,7,Night,4
349,350,3,46,6,Day-Off-Peak,4
350,351,3,65,7,Night,5
351,352,2,11,13,Night,4
352,353,1,1,1,Day-Off-Peak,4
353,354,1,32,2,Day-Peak,5
354,355,3,70,7,Night,5
355,356,2,32,13,Day-Peak,5
356,357,2,22,12,Day-Peak,5
357,358,3,94,6,Day-Off-Peak,5
358,359,3,65,6,Day-Peak,5
359,360,1,49,2,Night,5
360,361,2,54,13,Night,5
361,362,2,9,13,Day-Off-Peak,4
362,363,1,52,2,Day-Peak,4
363,364,4,76,8,Night,4
364,365,1,18,2,Night,5
365,366,2,53,15,Night,3
366,367,3,75,8,Day-Off-Peak,3
367,368,1,65,1,Day-Peak,5
368,369,1,7,3,Day-Peak,3
369,370,1,12,4,Night,3
370,371,4,76,8,Day-Peak,4
371,372,2,93,12,Day-Peak,4
372,373,4,86,9,Night,4
373,374,3,97,6,Day-Off-Peak,4
374,375,3,70,7,Night,5
375,376,4,82,9,Day-Off-Peak,5
376,377,3,78,7,Day-Off-Peak,4
377,378,4,76,9,Night,4
378,379,2,47,15,Night,3
379,380,2,34,12,Day-Off-Peak,5
380,381,1,54,2,Day-Off-Peak,5
381,382,1,9,4,Night,3
382,383,1,51,2,Day-Peak,5
383,384,1,13,3,Night,4
384,385,1,15,2,Day-Peak,4
385,386,2,79,14,Day-Peak,4
386,387,1,26,1,Day-Peak,5
387,388,1,6,2,Day-Peak,5
388,389,2,20,13,Day-Off-Peak,4
389,390,3,41,6,Day-Off-Peak,4
390,391,3,94,7,Night,5
391,392,1,55,3,Day-Off-Peak,3
392,393,3,18,7,Day-Peak,5
393,394,2,96,12,Day-Off-Peak,4
394,395,1,3,2,Day-Peak,5
395,396,2,93,21,Day-Off-Peak,3
396,397,2,63,12,Day-Off-Peak,4
397,398,4,76,9,Day-Off-Peak,4
398,399,2,29,19,Day-Off-Peak,4
399,400,3,38,9,Day-Peak,3
400,401,1,16,2,Night,4
401,402,1,1,2,Day-Peak,4
402,403,2,30,12,Night,5
403,404,3,65,7,Day-Off-Peak,5
404,405,2,32,13,Day-Peak,5
405,406,2,39,13,Day-Off-Peak,4
406,407,3,53,7,Day-Peak,4
407,408,1,26,4,Day-Off-Peak,4
408,409,1,16,2,Day-Off-Peak,4
409,410,4,75,10,Day-Peak,3
410,411,1,10,2,Night,5
411,412,4,75,8,Night,4
412,413,3,34,7,Day-Peak,5
413,414,1,11,1,Night,4
414,415,2,64,12,Night,4
415,416,1,54,2,Night,5
416,417,1,23,3,Day-Peak,4
417,418,1,27,2,Day-Peak,4
418,419,2,36,13,Day-Off-Peak,5
419,420,2,77,13,Day-Off-Peak,4
420,421,1,30,1,Day-Peak,5
421,422,3,77,10,Day-Peak,3
422,423,1,42,3,Night,4
423,424,1,5,2,Day-Peak,4
424,425,1,40,2,Day-Peak,5
425,426,4,96,9,Day-Peak,4
426,427,2,47,13,Day-Peak,4
427,428,1,41,2,Day-Peak,4
428,429,1,79,6,Night,4
429,430,2,83,18,Night,3
430,431,1,23,3,Night,4
431,432,3,92,7,Night,4
432,433,4,67,11,Day-Peak,3
433,434,2,72,13,Day-Off-Peak,5
434,435,1,4,2,Day-Peak,4
435,436,3,65,8,Day-Off-Peak,4
436,437,2,64,14,Night,3
437,438,4,26,9,Night,5
438,439,1,23,2,Day-Peak,5
439,440,3,48,7,Day-Off-Peak,4
440,441,4,93,10,Day-Peak,3
441,442,2,42,15,Night,4
442,443,1,64,6,Day-Off-Peak,3
443,444,1,37,4,Day-Off-Peak,4
444,445,1,11,2,Night,4
445,446,1,12,2,Day-Peak,4
446,447,3,57,7,Day-Off-Peak,4
447,448,4,95,10,Night,3
448,449,3,66,7,Night,5
449,450,3,76,10,Night,3
450,451,1,23,1,Day-Peak,5
451,452,3,29,8,Night,4
452,453,1,58,3,Day-Peak,4
453,454,1,18,2,Night,5
454,455,2,44,13,Day-Off-Peak,5
455,456,2,43,15,Day-Peak,3
456,457,1,1,2,Day-Off-Peak,4
457,458,2,90,13,Night,5
458,459,4,88,10,Day-Peak,3
459,460,3,66,8,Night,4
460,461,1,36,3,Night,4
461,462,3,95,7,Day-Off-Peak,4
462,463,1,7,2,Night,4
463,464,3,71,7,Night,5
464,465,4,85,8,Night,4
465,466,1,14,2,Day-Off-Peak,4
466,467,2,10,14,Night,4
467,468,1,22,2,Day-Peak,5
468,469,3,71,8,Day-Off-Peak,4
469,470,1,21,2,Day-Peak,4
470,471,3,50,7,Night,4
471,472,3,95,7,Night,4
472,473,3,36,6,Day-Peak,5
473,474,3,83,7,Day-Off-Peak,4
474,475,3,65,7,Night,5
475,476,1,51,3,Night,4
476,477,1,27,2,Day-Peak,4
477,478,1,54,2,Night,5
478,479,2,72,13,Day-Off-Peak,5
479,480,1,1,3,Day-Peak,3
480,481,3,83,6,Day-Off-Peak,4
481,482,1,89,2,Night,5
482,483,1,73,3,Day-Off-Peak,4
483,484,1,61,3,Day-Peak,4
484,485,1,69,1,Night,5
485,486,4,51,9,Day-Off-Peak,5
486,487,2,56,13,Day-Off-Peak,4
487,488,2,50,15,Day-Off-Peak,3
488,489,1,8,2,Night,4
489,490,3,21,7,Night,4
490,491,2,50,13,Night,4
491,492,2,10,13,Day-Peak,5
492,493,2,78,13,Night,4
493,494,3,91,6,Day-Off-Peak,5
494,495,2,61,12,Night,5
495,496,2,74,13,Day-Off-Peak,5
496,497,2,87,13,Night,4
497,498,3,21,7,Night,4
498,499,3,71,7,Day-Peak,5
499,500,1,59,2,Day-Peak,5
500,501,3,29,7,Day-Peak,5
501,502,2,9,13,Day-Off-Peak,4
502,503,1,14,5,Day-Peak,3
503,504,1,1,1,Night,4
504,505,1,21,3,Day-Off-Peak,3
505,506,2,45,13,Day-Peak,4
506,507,3,77,8,Night,3
507,508,3,82,7,Day-Off-Peak,5
508,509,1,2,2,Day-Off-Peak,5
509,510,2,72,14,Night,4
510,511,4,74,9,Day-Off-Peak,5
511,512,1,8,2,Day-Off-Peak,4
512,513,2,50,13,Day-Peak,4
513,514,2,51,13,Night,5
514,515,3,76,7,Day-Off-Peak,4
515,516,1,11,2,Night,4
516,517,2,45,13,Day-Off-Peak,4
517,518,2,42,13,Night,5
518,519,1,39,1,Day-Off-Peak,4
519,520,3,96,7,Day-Peak,4
520,521,4,85,8,Day-Peak,4
521,522,2,22,13,Day-Off-Peak,5
522,523,2,69,14,Night,4
523,524,2,58,13,Night,5
524,525,1,1,1,Day-Peak,4
525,526,3,97,7,Night,4
526,527,4,92,11,Day-Peak,3
527,528,1,61,2,Night,5
528,529,2,66,13,Night,5
529,530,2,24,13,Day-Off-Peak,4
530,531,3,64,7,Day-Off-Peak,4
531,532,3,56,8,Night,3
532,533,2,25,12,Day-Off-Peak,5
533,534,1,48,2,Day-Peak,4
534,535,3,31,7,Night,4
535,536,3,56,7,Day-Off-Peak,4
536,537,4,75,9,Night,4
537,538,4,100,10,Day-Peak,3
538,539,3,80,6,Day-Peak,4
539,540,3,91,7,Night,5
540,541,2,35,13,Night,4
541,542,4,91,10,Day-Peak,4
542,543,2,61,13,Day-Peak,5
543,544,3,68,9,Day-Off-Peak,4
544,545,4,84,10,Day-Off-Peak,4
545,546,2,15,14,Night,3
546,547,1,46,2,Night,4
547,548,1,90,4,Night,4
548,549,3,93,6,Night,4
549,550,1,16,2,Night,4
550,551,3,12,7,Night,4
551,552,1,38,1,Day-Peak,4
552,553,3,85,6,Day-Peak,4
553,554,1,8,2,Day-Peak,4
554,555,1,17,2,Day-Peak,4
555,556,1,4,1,Night,4
556,557,3,69,7,Night,5
557,558,3,18,6,Night,5
558,559,1,22,3,Day-Peak,4
559,560,1,40,3,Night,4
560,561,1,62,3,Day-Peak,4
561,562,2,6,12,Day-Off-Peak,5
562,563,1,49,1,Day-Off-Peak,5
563,564,1,27,3,Day-Peak,3
564,565,2,34,13,Night,5
565,566,1,7,4,Day-Peak,3
566,567,2,43,13,Day-Peak,4
567,568,1,37,2,Day-Off-Peak,5
568,569,3,80,9,Day-Peak,3
569,570,3,70,7,Day-Off-Peak,5
570,571,1,30,1,Night,5
571,572,3,94,7,Day-Off-Peak,5
572,573,3,37,7,Day-Off-Peak,5
573,574,2,83,13,Night,4
574,575,1,24,1,Day-Off-Peak,4
575,576,2,53,13,Day-Peak,4
576,577,3,69,7,Day-Off-Peak,5
577,578,3,93,8,Day-Off-Peak,3
578,579,2,49,14,Day-Off-Peak,4
579,580,1,19,2,Day-Off-Peak,5
580,581,1,47,1,Day-Peak,4
581,582,4,53,9,Day-Off-Peak,4
582,583,1,40,2,Day-Off-Peak,5
583,584,4,63,9,Day-Off-Peak,4
584,585,3,45,7,Day-Peak,4
585,586,2,43,13,Night,4
586,587,2,93,14,Day-Peak,3
587,588,4,83,9,Day-Off-Peak,4
588,589,4,80,9,Day-Off-Peak,4
589,590,3,71,7,Day-Off-Peak,5
590,591,4,83,9,Day-Off-Peak,4
591,592,1,10,2,Day-Peak,5
592,593,1,12,2,Day-Peak,4
593,594,4,56,9,Day-Off-Peak,4
594,595,1,31,4,Day-Off-Peak,3
595,596,2,20,15,Day-Off-Peak,3
596,597,3,71,8,Day-Peak,4
597,598,2,51,13,Day-Off-Peak,5
598,599,2,55,16,Night,3
599,600,1,9,3,Day-Peak,3
600,601,2,8,13,Day-Peak,4
601,602,2,82,13,Night,5
602,603,1,48,2,Day-Peak,4
603,604,1,4,1,Day-Peak,4
604,605,4,81,8,Day-Off-Peak,4
605,606,1,6,2,Day-Peak,5
606,607,2,48,15,Day-Peak,3
607,608,1,33,1,Day-Peak,5
608,609,1,25,1,Day-Peak,5
609,610,3,64,8,Night,3
610,611,3,27,7,Day-Peak,4
611,612,1,73,2,Day-Off-Peak,5
612,613,3,83,7,Day-Off-Peak,4
613,614,3,51,8,Day-Peak,4
614,615,3,8,9,Day-Peak,3
615,616,3,67,7,Day-Off-Peak,4
616,617,1,20,1,Day-Off-Peak,4
617,618,4,95,9,Night,4
618,619,1,25,2,Day-Peak,5
619,620,2,74,13,Day-Off-Peak,5
620,621,1,3,3,Night,4
621,622,3,62,7,Day-Off-Peak,5
622,623,3,25,6,Day-Off-Peak,5
623,624,1,1,2,Day-Off-Peak,4
624,625,2,98,13,Night,5
625,626,4,96,11,Night,3
626,627,1,12,1,Night,4
627,628,2,72,13,Day-Peak,5
628,629,2,76,12,Day-Off-Peak,4
629,630,1,28,3,Night,4
630,631,3,36,7,Day-Peak,5
631,632,1,19,2,Day-Peak,5
632,633,3,86,6,Day-Off-Peak,4
633,634,2,22,13,Night,5
634,635,1,66,2,Day-Off-Peak,5
635,636,3,62,7,Day-Off-Peak,5
636,637,2,52,14,Day-Peak,3
637,638,2,61,13,Day-Peak,5
638,639,1,25,3,Day-Peak,4
639,640,2,39,12,Night,4
640,641,1,84,1,Night,5
641,642,3,60,7,Night,4
642,643,1,61,2,Day-Off-Peak,5
643,644,3,88,7,Day-Off-Peak,4
644,645,1,12,4,Day-Off-Peak,3
645,646,2,72,13,Night,5
646,647,2,50,13,Night,4
647,648,3,54,7,Night,5
648,649,1,83,2,Day-Off-Peak,4
649,650,2,51,13,Day-Off-Peak,5
650,651,1,49,3,Day-Peak,4
651,652,3,85,6,Night,4
652,653,1,18,1,Day-Off-Peak,5
653,654,2,74,13,Day-Off-Peak,5
654,655,2,64,13,Day-Off-Peak,4
655,656,4,98,8,Night,5
656,657,1,62,1,Night,5
657,658,4,99,10,Day-Off-Peak,3
658,659,2,43,13,Day-Off-Peak,4
659,660,1,65,1,Day-Off-Peak,5
660,661,3,90,6,Night,5
661,662,2,70,13,Day-Peak,5
662,663,4,51,9,Night,5
663,664,4,98,8,Day-Off-Peak,5
664,665,2,72,12,Day-Peak,5
665,666,3,80,7,Day-Peak,4
666,667,1,29,2,Day-Peak,5
667,668,4,87,9,Day-Peak,4
668,669,1,62,2,Day-Peak,5
669,670,4,91,8,Night,5
670,671,1,34,2,Day-Off-Peak,5
671,672,3,66,7,Night,5
672,673,2,41,13,Day-Peak,4
673,674,1,57,2,Night,4
674,675,2,34,13,Night,5
675,676,4,73,10,Day-Peak,4
676,677,2,47,13,Day-Peak,4
677,678,4,87,10,Day-Peak,3
678,679,1,22,3,Day-Off-Peak,4
679,680,1,4,2,Day-Peak,4
680,681,3,40,7,Day-Peak,5
681,682,1,11,2,Day-Off-Peak,4
682,683,4,99,9,Day-Peak,4
683,684,1,9,2,Night,4
684,685,2,54,15,Day-Off-Peak,4
685,686,4,62,11,Day-Peak,4
686,687,3,90,7,Day-Peak,5
687,688,2,1,13,Day-Peak,4
688,689,1,24,1,Day-Peak,4
689,690,2,71,13,Night,5
690,691,3,54,9,Night,4
691,692,2,78,16,Day-Peak,3
692,693,2,53,14,Day-Peak,3
693,694,4,94,9,Night,5
694,695,2,39,13,Day-Peak,4
695,696,1,4,2,Night,4
696,697,4,91,9,Day-Off-Peak,5
697,698,1,5,2,Day-Off-Peak,4
698,699,1,31,2,Day-Peak,4
699,700,1,46,3,Night,3
700,701,3,89,7,Day-Peak,5
701,702,2,26,13,Day-Peak,5
702,703,2,58,28,Day-Off-Peak,4
703,704,2,37,15,Day-Peak,4
704,705,1,16,2,Night,4
705,706,1,34,2,Night,5
706,707,2,44,13,Night,5
707,708,3,74,8,Day-Peak,4
708,709,1,6,2,Day-Off-Peak,5
709,710,1,57,2,Night,4
710,711,3,44,7,Night,5
711,712,2,34,18,Night,4
712,713,3,84,9,Day-Off-Peak,4
713,714,1,21,2,Day-Off-Peak,4
714,715,3,79,9,Night,4
715,716,3,68,7,Day-Peak,5
716,717,2,52,13,Night,4
717,718,1,67,3,Night,3
718,719,2,34,13,Night,5
719,720,4,66,9,Day-Peak,5
720,721,1,1,2,Night,4
721,722,2,47,12,Day-Peak,4
722,723,3,97,6,Day-Peak,4
723,724,3,95,6,Day-Off-Peak,4
724,725,3,81,7,Night,4
725,726,2,53,13,Night,4
726,727,4,83,9,Day-Off-Peak,4
727,728,2,57,13,Day-Peak,4
728,729,2,75,13,Day-Peak,4
729,730,2,67,13,Night,4
730,731,3,74,7,Night,5
731,732,3,70,7,Day-Off-Peak,5
732,733,1,52,2,Day-Peak,4
733,734,4,98,9,Day-Off-Peak,5
734,735,1,22,2,Night,5
735,736,1,17,2,Night,4
736,737,3,25,13,Night,4
737,738,1,64,2,Day-Off-Peak,4
738,739,2,61,14,Day-Off-Peak,4
739,740,3,88,8,Day-Off-Peak,3
740,741,1,3,4,Night,4
741,742,3,67,7,Day-Peak,4
742,743,4,93,9,Day-Peak,4
743,744,4,99,10,Night,3
744,745,2,43,13,Day-Off-Peak,4
745,746,2,70,13,Night,5
746,747,2,93,13,Day-Off-Peak,4
747,748,4,62,9,Day-Peak,5
748,749,2,89,14,Day-Peak,4
749,750,2,41,12,Day-Peak,4
750,751,3,75,6,Day-Off-Peak,4
751,752,4,92,9,Day-Off-Peak,4
